RA,Dec
130.44145229505625,-17.510876220323397
130.4403058360405,-17.510875842743097
130.43915978309886,-17.50978212604504
130.44030663428188,-17.508689177613885
130.44145307950185,-17.508689555143963
130.44145307950185,-17.508689555143963
130.442599910092,-17.507596593467497
130.44374634851772,-17.507596957810115
130.44489278699376,-17.507597315571555
130.44603922551926,-17.507597666751813
130.44603922551926,-17.507597666751813
130.44603922551926,-17.507597666751813
130.44489315851172,-17.50650398289263
130.44489353002518,-17.505410650208532
130.44489390153421,-17.504317317520055
130.44489427303873,-17.503223984827994
130.44489427303873,-17.503223984827994
130.44374786215292,-17.503223627161727
130.44260145131744,-17.503223262916034
130.4414554327254,-17.502129559468766
130.4414554327254,-17.502129559468766
130.44030902889074,-17.50212918208933
130.43916303109117,-17.50103546555742
130.43916343706823,-17.49994213298274
130.43916384304038,-17.49884880040766
130.43916424900766,-17.49775546783298
130.43916465497009,-17.496662135259502
130.43916465497009,-17.496662135259502
130.43801869858245,-17.4955684123065
130.43801869858245,-17.4955684123065
130.43687233629223,-17.495568015348624
130.43572640070082,-17.494474279324955
130.4357268273386,-17.4933809468391
130.4357268273386,-17.4933809468391
130.43458047895447,-17.493380536783103
130.43343413062806,-17.493380120151635
130.43228822968268,-17.49228636454641
130.43343501147447,-17.491193455303915
130.43343501147447,-17.491193455303915
130.43343501147447,-17.491193455303915
130.43228912431144,-17.49009969976618
130.43228912431144,-17.49009969976618
130.43114325099535,-17.489005937717828
130.43114325099535,-17.489005937717828
130.4299973915268,-17.48791216916098
130.4299973915268,-17.48791216916098
130.42885154590653,-17.48681839409773
130.42885154590653,-17.48681839409773
130.42770523926066,-17.486817944768422
130.42655893267792,-17.48681748886627
130.42541311482609,-17.48572369421421
130.42541360348693,-17.484630362047106
130.42541409214192,-17.48353702989075
130.425414580791,-17.482443697745943
130.4254150694342,-17.481350365613473
130.42541555807153,-17.480257033494148
130.42541604670302,-17.479163701388764
130.4254165353286,-17.478070369298106
130.42541702394828,-17.47697703722297
130.42541751256212,-17.475883705164165
130.4265642318362,-17.47479083525872
130.42771046256644,-17.474791290826925
130.42771046256644,-17.474791290826925
130.4288571612764,-17.47369840771227
130.43000338523692,-17.47369885011494
130.43114960925874,-17.473699285950023
130.43114960925874,-17.473699285950023
130.43115006337945,-17.47260595379537
130.43115006337945,-17.47260595379537
130.43000430726295,-17.47151218588322
130.43000476826765,-17.470418853797426
130.43115142570875,-17.46932595745163
130.43115142570875,-17.46932595745163
130.43229806941517,-17.468233054504225
130.43229806941517,-17.468233054504225
130.43229851661386,-17.467139722426477
130.43229896380717,-17.466046390372203
130.43229941099509,-17.464953058342225
